ID,MENO,PRIEZVISKO,VEK,POHLAVIE
362,Jane,Doe,59,Woman
363,Mike,Lee,49,Woman
364,Emma,Martinez,39,Woman
365,Sam,Johnson,33,Man
366,Anna,Smith,33,Man
367,Tom,Smith,40,Woman
368,Linda,Jones,30,Man
369,John,Johnson,46,Woman
370,Tom,Jones,28,Man
371,Chris,Johnson,24,Man
372,Anna,Smith,36,Man
373,Chris,Brown,28,Man
374,Mike,Brown,55,Woman
375,Tom,Lee,44,Woman
376,Jane,White,56,Man
377,Sam,Martinez,60,Man
378,Tom,White,59,Woman
379,Sam,Martinez,27,Woman
380,Jane,Lee,49,Woman
381,Anna,White,37,Woman
382,Anna,Johnson,20,Man
383,Lucy,Smith,38,Man
384,Sam,Taylor,23,Woman
385,Anna,Taylor,20,Woman
386,Emma,Garcia,24,Man
387,Mike,Johnson,32,Man
388,Tom,Jones,43,Man
389,Jane,Lee,42,Woman
390,Lucy,Doe,38,Man
391,Jane,Smith,46,Man
392,Lucy,Johnson,19,Woman
393,Linda,Lee,43,Woman
394,Anna,Garcia,59,Woman
395,Lucy,Jones,48,Man
396,Emma,Garcia,44,Man
397,Sam,White,51,Man
398,Mike,Doe,50,Woman
399,Linda,Lee,24,Woman
400,Emma,Johnson,29,Woman
401,Mike,Brown,50,Man
402,Anna,Lee,52,Man
403,Mike,Garcia,19,Man
404,Sam,Garcia,42,Man
405,Lucy,Brown,56,Man
406,Sam,Smith,35,Woman
407,Chris,Smith,18,Man
408,Emma,White,49,Woman
409,Anna,Garcia,52,Man
410,Tom,Brown,60,Man
411,Linda,Doe,23,Woman
412,Jane,Jones,18,Man
413,Linda,Garcia,31,Woman
414,Jane,Doe,21,Woman
415,John,Lee,28,Man
416,Chris,White,56,Man
417,Jane,White,37,Man
418,Tom,Taylor,60,Woman
419,John,Taylor,45,Man
420,Sam,Johnson,37,Woman
421,John,Martinez,51,Woman
422,John,Taylor,53,Man
423,Tom,Garcia,40,Woman
424,Mike,Johnson,26,Man
425,Lucy,Taylor,54,Woman
426,Jane,Garcia,29,Man
427,Tom,Brown,52,Woman
428,Jane,Martinez,30,Man
429,Linda,Lee,38,Woman
430,Sam,Smith,28,Woman
431,Lucy,Smith,26,Man
432,Jane,Garcia,27,Man
433,Jane,Smith,37,Man
434,Emma,Doe,34,Man
435,Jane,Lee,52,Woman
436,Emma,Taylor,19,Woman
437,Tom,Lee,50,Woman
438,Linda,Johnson,33,Man
439,Linda,Taylor,47,Man
440,Tom,White,53,Man
441,Tom,Johnson,60,Woman
442,Jane,Jones,56,Man
443,John,Doe,35,Woman
444,Tom,Lee,25,Woman
445,Sam,Brown,21,Man
446,Linda,Johnson,47,Woman
447,Tom,White,46,Woman
448,Linda,Lee,50,Woman
449,John,Jones,33,Man
450,Linda,Garcia,21,Man
451,Emma,Martinez,43,Man
452,Emma,Lee,44,Man
453,Sam,Taylor,39,Woman
454,Lucy,White,40,Woman
455,Chris,Lee,43,Man
456,Emma,Lee,52,Woman
457,Emma,Smith,50,Woman
458,Lucy,Lee,44,Man
459,Anna,Jones,32,Man
460,Chris,Smith,41,Woman
461,Chris,Doe,58,Man
462,Mike,Garcia,46,Woman
463,Jane,Martinez,50,Man
464,John,White,42,Woman
465,Chris,Jones,20,Woman
466,John,Martinez,28,Woman
467,John,Brown,44,Man
468,Linda,White,40,Man
469,John,Jones,52,Woman
470,Mike,White,40,Man
471,Emma,Garcia,18,Man
472,Sam,Lee,21,Man
473,Anna,Johnson,39,Woman
474,Tom,Doe,50,Man
475,Mike,Taylor,43,Woman
476,Tom,White,35,Man
477,Emma,Martinez,54,Man
478,Linda,Doe,45,Man
479,Linda,Doe,29,Woman
480,Emma,Smith,18,Woman
481,Lucy,Jones,41,Woman
482,John,White,53,Woman
483,John,Smith,59,Man
484,Chris,Martinez,48,Man
485,Anna,Jones,50,Woman
486,Anna,White,56,Man
487,Mike,Garcia,55,Woman
488,Lucy,White,31,Woman
489,Chris,Martinez,39,Man
490,Emma,Johnson,32,Woman
491,Chris,Taylor,49,Woman
492,Tom,Smith,43,Woman
493,Tom,White,45,Man
494,John,Doe,34,Man
495,Chris,White,19,Woman
496,Linda,Jones,48,Woman
497,John,Brown,42,Woman
498,John,Smith,36,Man
499,Jane,White,32,Man
500,Lucy,Jones,21,Man
501,John,Martinez,40,Man
502,Chris,Garcia,31,Man
503,John,Lee,39,Woman
504,Jane,Garcia,30,Man
505,Anna,Johnson,18,Man
506,Chris,Jones,43,Man
507,John,Lee,21,Woman
508,Sam,Smith,30,Man
509,Lucy,Johnson,29,Woman
510,Mike,White,50,Man
511,John,White,20,Woman
512,Sam,Johnson,18,Woman
513,Mike,Lee,51,Man
514,Tom,Doe,32,Woman
515,Lucy,Jones,60,Man
516,Chris,Jones,59,Man
517,Jane,Garcia,52,Woman
518,Chris,Garcia,31,Woman
519,Chris,Lee,25,Man
520,Mike,Doe,30,Woman
521,Linda,Garcia,47,Man
522,Mike,Doe,49,Woman
523,Linda,White,27,Woman
524,Anna,Smith,52,Man
525,Lucy,Taylor,40,Woman
526,Tom,Lee,46,Woman
527,Sam,Brown,49,Woman
528,Emma,Johnson,44,Man
529,John,Lee,58,Man
530,Lucy,Lee,57,Man
531,Lucy,Taylor,18,Woman
532,Mike,Jones,43,Man
533,Emma,White,54,Man
534,Sam,Lee,60,Man
535,Lucy,Garcia,24,Woman
536,Mike,Brown,32,Woman
537,Mike,Johnson,35,Man
538,Chris,Jones,47,Man
539,Jane,Doe,27,Woman
540,Chris,Doe,44,Man
541,Chris,Taylor,48,Man
542,Mike,Brown,52,Man
543,Linda,Jones,21,Man
544,Anna,Doe,43,Woman
545,Sam,Garcia,40,Woman
546,Jane,Doe,38,Woman
547,Jane,Martinez,40,Woman
548,Lucy,Smith,27,Woman
549,Tom,Garcia,35,Man
550,Chris,Garcia,33,Woman
551,Emma,Taylor,55,Woman
552,Linda,Martinez,24,Woman
553,Emma,Johnson,26,Man
554,Chris,White,29,Woman
555,Jane,Smith,22,Woman
556,Linda,Garcia,51,Man
557,Anna,Garcia,38,Man
558,Mike,Garcia,24,Woman
559,Jane,White,60,Man
560,Mike,Lee,52,Man
561,Anna,Brown,39,Woman
562,Chris,Martinez,34,Woman
563,Chris,Smith,52,Man
564,Sam,Martinez,39,Woman
565,Sam,Garcia,54,Woman
566,Tom,Brown,45,Man
567,Mike,Taylor,43,Woman
568,Linda,Martinez,20,Man
569,Jane,Johnson,19,Woman
570,Sam,Johnson,33,Man
571,Linda,Johnson,39,Woman
572,Sam,White,43,Man
573,Linda,Martinez,52,Man
574,Sam,Jones,41,Man
575,Mike,Jones,55,Man
576,Tom,Martinez,43,Woman
577,John,White,47,Man
578,John,Brown,57,Woman
579,John,Martinez,51,Woman
580,Tom,White,23,Man
581,Chris,Johnson,23,Woman
582,Jane,Garcia,29,Man
583,Linda,Jones,56,Woman
584,Chris,Garcia,49,Woman
585,Jane,Johnson,21,Man
586,Sam,Martinez,47,Man
587,Sam,Brown,28,Man
588,Linda,Lee,47,Man
589,Sam,Taylor,23,Woman
590,Mike,Smith,52,Woman
591,Emma,Brown,43,Woman
592,Lucy,Taylor,23,Man
593,Chris,Taylor,44,Man
594,Emma,Johnson,31,Man
595,Emma,Johnson,34,Man
596,Jane,Taylor,52,Man
597,Tom,Lee,41,Man
598,Tom,White,55,Man
599,Tom,Johnson,39,Man
600,John,Doe,44,Woman
601,John,Garcia,60,Man
602,Tom,Doe,49,Man
603,Mike,White,41,Woman
604,Jane,Smith,44,Man
605,Sam,Smith,55,Man
606,Lucy,Johnson,39,Man
607,Chris,Smith,52,Woman
608,Mike,Doe,49,Woman
609,Chris,Doe,53,Woman
610,Anna,Johnson,49,Man
611,Sam,Garcia,18,Woman
612,John,Taylor,36,Man
613,Chris,Brown,33,Man
614,Chris,Taylor,18,Woman
615,John,Johnson,30,Woman
616,Lucy,Doe,23,Man
617,Emma,Martinez,20,Man
618,Sam,Jones,37,Man
619,John,Lee,30,Man
620,Tom,Brown,21,Woman
621,John,Johnson,26,Man
622,Anna,White,36,Woman
623,Anna,Lee,46,Woman
624,Tom,Doe,24,Man
625,Mike,Smith,47,Man
626,Sam,Garcia,19,Woman
627,John,Martinez,37,Man
628,Jane,Lee,37,Man
629,Mike,Garcia,21,Woman
630,Anna,Doe,33,Man
631,Sam,Taylor,31,Woman
632,Jane,Lee,26,Woman
633,Tom,Doe,58,Woman
634,Tom,Martinez,36,Woman
635,Tom,Garcia,19,Man
636,Tom,Jones,28,Man
637,Sam,Johnson,20,Man
638,Linda,Jones,18,Woman
639,Linda,Brown,60,Woman
640,John,Brown,29,Man
641,Mike,Garcia,27,Man
642,Chris,Doe,34,Man
643,Emma,Taylor,34,Man
644,Linda,Garcia,59,Man
645,Mike,Garcia,59,Man
646,Jane,Johnson,50,Woman
647,Anna,Doe,30,Woman
648,Sam,Garcia,50,Woman
649,Jane,Lee,27,Woman
650,Anna,Martinez,33,Man
651,Emma,White,19,Woman
652,Sam,Martinez,30,Man
653,Jane,Martinez,49,Woman
654,Tom,White,24,Woman
655,Emma,Garcia,23,Man
656,Chris,Smith,39,Woman
657,Sam,Smith,59,Man
658,Jane,Martinez,41,Man
659,Sam,White,22,Woman
660,Jane,Johnson,43,Man
661,Emma,Taylor,35,Woman
662,Jane,Garcia,31,Woman
663,Mike,Martinez,31,Woman
664,Linda,Brown,19,Woman
665,Sam,White,46,Man
666,Jane,Jones,40,Man
667,Jane,Doe,32,Woman
668,Sam,Martinez,53,Man
669,Lucy,Smith,59,Woman
670,Mike,Smith,35,Woman
671,Jane,Smith,31,Woman
672,Jane,Smith,51,Man
673,Tom,Garcia,39,Woman
674,Chris,White,18,Woman
675,Chris,Smith,37,Woman
676,Linda,White,44,Woman
677,Jane,Garcia,37,Woman
678,Lucy,Lee,28,Woman
679,Jane,White,21,Woman
680,Mike,Doe,24,Woman
681,Sam,Smith,30,Man
682,John,Garcia,45,Woman
683,Linda,Doe,38,Woman
684,Sam,Johnson,46,Man
685,John,Doe,31,Man
686,Mike,Smith,30,Man
687,Emma,Smith,26,Man
688,Mike,White,21,Woman
689,Tom,White,41,Woman
690,Chris,Smith,26,Woman
691,Chris,Garcia,43,Woman
692,Chris,Doe,57,Man
693,Anna,Lee,25,Woman
694,Sam,Lee,49,Man
695,Anna,Jones,27,Woman
696,Jane,Brown,56,Woman
697,Linda,Taylor,23,Man
698,Linda,Lee,35,Man
699,Jane,Doe,24,Man
700,Emma,Doe,19,Man
701,Emma,White,48,Woman
702,John,Jones,45,Woman
703,John,Taylor,50,Man
704,Mike,Smith,45,Woman
705,Linda,Garcia,54,Man
706,Chris,Smith,40,Man
707,John,Taylor,28,Man
708,Jane,Brown,56,Man
709,Chris,Martinez,49,Man
710,John,Brown,49,Woman
711,Jane,Martinez,28,Woman
712,Chris,Taylor,24,Woman
713,Jane,Jones,37,Man
714,John,Taylor,42,Woman
715,Lucy,Brown,56,Woman
716,Chris,Garcia,49,Woman
717,Tom,Martinez,46,Man
718,Mike,White,40,Woman
719,Lucy,Brown,31,Man
720,Tom,Jones,23,Woman
721,Jane,Taylor,18,Woman
722,Linda,Smith,55,Woman
723,Emma,Doe,39,Man
724,Tom,Garcia,29,Woman
725,Anna,Smith,30,Man
726,Lucy,Martinez,47,Man
727,Mike,White,40,Woman
728,Linda,Lee,47,Woman
729,Anna,Lee,58,Man
730,Linda,Johnson,50,Woman
731,Lucy,Martinez,19,Woman
732,Chris,Jones,60,Man
733,Mike,Doe,60,Man
734,Tom,Garcia,26,Woman
735,John,White,45,Woman
736,Tom,Jones,44,Man
737,John,Jones,55,Man
738,John,Lee,23,Woman
739,Anna,Martinez,24,Woman
740,Tom,Martinez,56,Man
741,Emma,Jones,32,Man
742,Anna,Johnson,39,Woman
743,Tom,Smith,57,Woman
744,Chris,Brown,57,Woman
745,John,Smith,42,Woman
746,Mike,Lee,28,Woman
747,Mike,Smith,46,Woman
748,John,White,49,Woman
749,Mike,Doe,53,Man
750,Sam,Brown,54,Woman
751,Jane,Jones,44,Woman
752,Tom,White,20,Man
753,Anna,Smith,36,Woman
754,Jane,Smith,30,Woman
755,Emma,White,38,Woman
756,John,Garcia,38,Woman
757,Chris,Taylor,43,Woman
758,Jane,Brown,58,Woman
759,Linda,Martinez,45,Man
760,Linda,Smith,20,Man
761,Anna,Lee,20,Woman
762,Tom,Jones,34,Woman
763,Jane,White,21,Man
764,Chris,Doe,26,Woman
765,Mike,Brown,36,Man
766,Jane,Taylor,24,Man
767,Mike,Jones,35,Man
768,John,Taylor,56,Woman
769,Tom,Martinez,39,Woman
770,Jane,Johnson,54,Woman
771,Mike,Lee,50,Man
772,Tom,Doe,48,Man
773,Tom,Doe,42,Man
774,Anna,Smith,27,Man
775,Sam,Taylor,22,Man
776,Linda,Garcia,24,Woman
777,Jane,Brown,24,Man
778,Emma,Lee,29,Man
779,Sam,Brown,30,Woman
780,Jane,Doe,53,Man
781,Chris,Doe,18,Woman
782,Linda,White,40,Woman
783,John,Smith,37,Man
784,Mike,Lee,27,Man
785,Jane,Johnson,25,Man
786,Anna,Jones,36,Man
787,Anna,Smith,38,Man
788,Tom,Smith,57,Man
789,Tom,Jones,49,Woman
790,Lucy,White,43,Woman
791,Emma,Jones,39,Woman
792,John,Garcia,47,Woman
793,Tom,Smith,48,Woman
794,Anna,Taylor,24,Man
795,Jane,White,38,Man
796,Chris,Martinez,37,Man
797,Sam,Jones,37,Woman
798,John,Martinez,22,Man
799,Anna,Brown,51,Man
800,Chris,Martinez,22,Man
801,Sam,Johnson,54,Woman
802,Tom,White,24,Man
803,John,Garcia,41,Woman
804,Emma,Doe,32,Man
805,Tom,White,32,Woman
806,Emma,Doe,50,Man
807,Anna,White,35,Man
808,Lucy,Martinez,44,Woman
809,Mike,Taylor,36,Woman
810,Mike,Johnson,56,Woman
811,Anna,White,55,Man
812,Mike,Lee,45,Woman
813,Tom,Taylor,45,Woman
814,Tom,Martinez,27,Woman
815,John,Taylor,46,Man
816,Anna,Lee,22,Woman
817,Jane,Martinez,49,Woman
818,Jane,Taylor,46,Man
819,Anna,Jones,60,Woman
820,Lucy,Johnson,31,Man
821,Emma,Smith,21,Man
822,Linda,Doe,54,Man
823,Sam,White,58,Woman
824,Chris,Martinez,48,Woman
825,Jane,White,58,Woman
826,Lucy,White,49,Man
827,John,Smith,34,Man
828,Emma,Lee,49,Woman
829,Mike,Garcia,18,Woman
830,Chris,Taylor,44,Man
831,Linda,Lee,43,Man
832,Lucy,Doe,50,Man
833,Emma,Jones,48,Woman
834,Lucy,Brown,27,Woman
835,Tom,Jones,25,Man
836,Anna,Lee,39,Man
837,Tom,Martinez,50,Woman
838,Mike,Garcia,48,Woman
839,Anna,Doe,19,Woman
840,Sam,Taylor,57,Man
841,Anna,Martinez,32,Man
842,Emma,Doe,20,Woman
843,Linda,Smith,26,Woman
844,John,White,26,Man
845,Emma,Johnson,46,Woman
846,Lucy,Lee,53,Man
847,Linda,Brown,28,Woman
848,Mike,Brown,40,Man
849,Tom,Garcia,57,Woman
850,John,Smith,32,Woman
851,Sam,Martinez,55,Woman
852,John,Martinez,30,Man
853,John,Johnson,29,Man
854,Lucy,Garcia,38,Woman
855,Lucy,Lee,42,Woman
856,Lucy,White,32,Man
857,Tom,Martinez,33,Man
858,Chris,Garcia,27,Woman
859,Sam,White,47,Woman
860,John,Johnson,32,Man
861,John,White,19,Woman
862,Tom,Smith,38,Man
863,Jane,Johnson,45,Man
864,Sam,Lee,29,Man
865,Lucy,Brown,20,Man
866,John,Martinez,39,Man
867,Mike,Brown,29,Woman
868,Anna,Garcia,51,Woman
869,Mike,Doe,43,Woman
870,Tom,Martinez,40,Woman
871,Emma,Garcia,59,Woman
872,Sam,Doe,38,Man
873,Lucy,Brown,30,Woman
874,Lucy,Taylor,26,Man
875,Sam,Garcia,58,Woman
876,Chris,Smith,58,Woman
877,Sam,Taylor,30,Man
878,Emma,Taylor,54,Man
879,Tom,Johnson,19,Woman
880,Anna,Taylor,41,Woman
881,Jane,Brown,20,Woman
882,Tom,Garcia,30,Man
883,Emma,Doe,54,Woman
884,Tom,Garcia,27,Woman
885,John,Taylor,39,Man
886,Tom,Martinez,24,Woman
887,Chris,Doe,33,Man
888,Mike,Smith,24,Man
889,Emma,Garcia,60,Man
890,Sam,White,44,Woman
891,Anna,Taylor,32,Man
892,Sam,Martinez,43,Woman
893,John,Smith,25,Woman
894,Linda,Brown,32,Woman
895,Emma,Smith,35,Woman
896,Anna,Doe,42,Man
897,Anna,Johnson,22,Woman
